city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Manila,14.5958,120.9772,Philippines,PH,Manila,primary,23088000,1780148
Quezon City,14.6333,121.0333,Philippines,PH,Quezon,admin,2936116,2936116
Davao,7.0667,125.6,Philippines,PH,Davao,admin,1632991,1632991
Caloocan City,14.65,120.9667,Philippines,PH,Caloocan,admin,1583978,1583978
Cebu City,10.3,123.9,Philippines,PH,Cebu,admin,922611,922611
Zamboanga City,6.9167,122.0833,Philippines,PH,Zamboanga,admin,861799,861799
Taguig City,14.5167,121.05,Philippines,PH,Taguig,admin,804915,804915
Antipolo,14.5842,121.1763,Philippines,PH,Rizal,admin,776386,776386
Pasig City,14.575,121.0833,Philippines,PH,Pasig,admin,755300,755300
Cagayan de Oro,8.4833,124.65,Philippines,PH,Cagayan de Oro,admin,675950,675950
City of Parañaque,14.4667,121.0167,Philippines,PH,Parañaque,admin,665822,665822
Dasmariñas,14.3294,120.9367,Philippines,PH,Cavite,,659019,659019
Valenzuela,14.7,120.9833,Philippines,PH,Valenzuela,admin,620422,620422
Bacoor,14.4624,120.9645,Philippines,PH,Cavite,,600609,600609
General Santos,6.1167,125.1667,Philippines,PH,General Santos,admin,594446,594446
Las Pinas City,14.45,120.9833,Philippines,PH,Las Piñas,,588894,588894
Makati City,14.55,121.0333,Philippines,PH,Makati,admin,582602,582602
San Jose del Monte,14.8139,121.0453,Philippines,PH,Bulacan,,574089,574089
Bacolod,10.6765,122.9509,Philippines,PH,Bacolod,admin,561875,561875
Muntinlupa City,14.3833,121.05,Philippines,PH,Muntinlupa,admin,504509,504509
City of Calamba,14.2167,121.1667,Philippines,PH,Laguna,,454486,454486
Marikina City,14.65,121.1,Philippines,PH,Marikina,admin,450741,450741
Iloilo,10.7167,122.5667,Philippines,PH,Iloilo,admin,447992,447992
Pasay City,14.55,121,Philippines,PH,Pasay,admin,416522,416522
Angeles City,15.1472,120.5847,Philippines,PH,Angeles,admin,411634,411634
Lapu-Lapu City,10.315,123.9761,Philippines,PH,Lapu-Lapu,admin,408112,408112
Imus,14.4297,120.9367,Philippines,PH,Cavite,,403785,403785
Mandaluyong City,14.5833,121.0333,Philippines,PH,Mandaluyong,admin,386276,386276
Malabon,14.6625,120.9567,Philippines,PH,Malabon,admin,365525,365525
Mandaue City,10.3333,123.9333,Philippines,PH,Mandaue,admin,362654,362654
Santa Rosa,14.3167,121.1167,Philippines,PH,Laguna,,353767,353767
Baguio City,16.4152,120.5956,Philippines,PH,Baguio,admin,345366,345366
Iligan,8.2333,124.25,Philippines,PH,Iligan,admin,342618,342618
Tarlac City,15.4802,120.5979,Philippines,PH,Tarlac,admin,342493,342493
Butuan,8.9534,125.5288,Philippines,PH,Butuan,admin,337063,337063
Binan,14.3333,121.0833,Philippines,PH,Laguna,,333028,333028
Lipa City,13.9411,121.1622,Philippines,PH,Batangas,,332386,332386
Batangas,13.75,121.05,Philippines,PH,Batangas,admin,329874,329874
San Pedro,14.3583,121.0583,Philippines,PH,Laguna,,325809,325809
General Trias,14.3833,120.8833,Philippines,PH,Cavite,,314303,314303
Cabuyao,14.275,121.125,Philippines,PH,Laguna,,308745,308745
San Fernando,15.0333,120.6833,Philippines,PH,Pampanga,admin,306659,306659
Cabanatuan City,15.4833,120.9667,Philippines,PH,Nueva Ecija,,302231,302231
Cotabato,7.2167,124.25,Philippines,PH,Cotabato,admin,299438,299438
Cadiz,10.9587,123.3086,Philippines,PH,Negros Occidental,,283157,129053
Lucena,13.9333,121.6167,Philippines,PH,Lucena,admin,266248,266248
San Pablo,14.0667,121.3167,Philippines,PH,Laguna,,266068,266068
Tagum,7.4478,125.8078,Philippines,PH,Davao del Norte,admin,259444,259444
Puerto Princesa,9.75,118.75,Philippines,PH,Puerto Princesa,admin,255116,255116
Malolos,14.8433,120.8114,Philippines,PH,Bulacan,admin,252074,252074
Mabalacat,15.2167,120.5833,Philippines,PH,Pampanga,,250799,250799
Navotas,14.6667,120.9417,Philippines,PH,Navotas,admin,249463,249463
Tacloban,11.2444,125.0039,Philippines,PH,Tacloban,admin,242089,242089
Olongapo,14.8333,120.2833,Philippines,PH,Olongapo,admin,233040,233040
Talisay,10.25,123.8333,Philippines,PH,Cebu,,227645,227645
Ormoc,11.0167,124.6167,Philippines,PH,Ormoc,admin,215031,215031
Meycauayan,14.7333,120.95,Philippines,PH,Bulacan,,209083,209083
Marawi City,8,124.3,Philippines,PH,Lanao del Sur,admin,201785,201785
Pagadian,7.8333,123.4333,Philippines,PH,Zamboanga del Sur,admin,199060,199060
Legazpi City,13.1333,123.7333,Philippines,PH,Albay,admin,196639,196639
Naga City,13.6167,123.1667,Philippines,PH,Naga,admin,196003,196003
Malaybalay,8.1575,125.1278,Philippines,PH,Bukidnon,admin,174625,174625
Dagupan City,16.0333,120.3333,Philippines,PH,Dagupan,admin,171271,171271
Digos,6.75,125.35,Philippines,PH,Davao del Sur,admin,169393,169393
Sorsogon,12.9667,124,Philippines,PH,Sorsogon,admin,168110,168110
Roxas City,11.5833,122.75,Philippines,PH,Capiz,admin,167003,167003
Trece Martires City,14.2833,120.8667,Philippines,PH,Cavite,admin,155713,155713
Surigao,9.7833,125.4833,Philippines,PH,Surigao del Norte,admin,154137,154137
